id;NumberOfModules;NumberOfFragments;EvaluationTime;ModuleConfiguration;
62;16;157;3;SearchAlg_DFS + Weighted + SearchAlg + Prog + Edges_Undirected + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Number + Alg_MSTPrim + Alg_MSTKruskal + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GEN_Edges );
63;10;130;2;SearchAlg + Weighted + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Alg_Transpose + Alg_StronglyConnected + Alg_Shortest + Alg_Number + ( Base -> GN_OnlyNeighbors );
64;11;135;3;SearchAlg_SearchBase + Weighted + SearchAlg + Edges_Undirected + Benchmark + Base + Alg_Shortest + Alg_MSTPrim + Alg_MSTKruskal + Alg_Cycle + Alg_Connected;
65;4;87;1;G_NoEdges#Weighted + Weighted + ( Base -> G_NoEdges );
66;15;155;4;GN_OnlyNeighbors#Weighted + Weighted + GN_OnlyNeighbors#Weighted + Edges_Directed + Benchmark + Alg_Transpose + Alg_MSTPrim + Alg_MSTKruskal + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GN_OnlyNeighbors -> GEN_Edges ) + ( GN_OnlyNeighbors -> GEN_Edges );
67;18;187;8;SearchAlg_SearchBase + Weighted + SearchAlg_BFS + SearchAlg + Prog + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_MSTKruskal + Alg_Connected + ( Edges_Directed -> Edges_Undirected ) + ( Base -> GN_OnlyNeighbors );
68;11;121;2;SearchAlg_SearchBase + Weighted + SearchAlg_DFS + SearchAlg + Prog + Benchmark + Base + Alg_Transpose + Alg_Shortest + Alg_MSTKruskal + Alg_Cycle;
69;15;174;4;SearchAlg_SearchBase + Weighted + SearchAlg + Prog + G_NoEdges#Weighted + Edges_Directed + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_MSTKruskal + Alg_Cycle + Alg_Connected + ( Base -> G_NoEdges );
70;6;93;2;SearchAlg + Weighted + Base + Alg_Transpose + Alg_StronglyConnected + Alg_Cycle;
71;11;123;3;SearchAlg + Weighted + Prog + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Edges_Undirected + Alg_Transpose + Alg_StronglyConnected + Alg_Shortest + ( Base -> GN_OnlyNeighbors );
72;3;70;0;SearchAlg + Weighted + Base;
73;11;140;2;SearchAlg + Weighted + Edges_Directed + Benchmark + Alg_Number + Alg_MSTPrim + Alg_Connected + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GEN_Edges );
74;15;146;3;SearchAlg_SearchBase + Weighted + SearchAlg_DFS + SearchAlg + Benchmark + Base + Alg_Transpose + Alg_Shortest + Alg_Number + Alg_MSTPrim + Alg_MSTKruskal + Alg_Cycle + Alg_Connected + ( Edges_Directed -> Edges_Undirected );
75;15;164;4;SearchAlg_SearchBase + Weighted + SearchAlg_BFS + SearchAlg + Prog + Edges_Undirected + Benchmark + Base + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_MSTPrim + Alg_MSTKruskal + Alg_Cycle + Alg_Connected;
