no;methodName;statements;involvedModules;fragments;visibility;baseSplit;fineGrained;nested;
204;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
205;hashCode():int;0;0;0;invisible;1;0;0;
206;asn1Equals(DERObject):boolean;0;0;0;invisible;1;0;0;
207;toString():String;0;0;0;invisible;1;0;0;
208;getString():String;0;0;0;invisible;1;0;0;
209;toString():String;0;0;0;invisible;1;0;0;
210;getOctets():byte[];0;0;0;invisible;1;0;0;
211;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
212;asn1Equals(DERObject):boolean;0;0;0;invisible;1;0;0;
213;hashCode():int;0;0;0;invisible;1;0;0;
214;setParentEofDetect(boolean):void;0;0;0;invisible;1;0;0;
215;getId():String;0;0;0;invisible;1;0;0;
216;writeField(OutputStream,long):void;0;0;0;invisible;1;0;0;
217;writeField(OutputStream,BigInteger):void;0;0;0;invisible;1;0;0;
218;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
219;hashCode():int;0;0;0;invisible;1;0;0;
220;asn1Equals(DERObject):boolean;0;0;0;invisible;1;0;0;
221;toString():String;0;0;0;invisible;1;0;0;
222;getOctetStream():InputStream;0;0;0;invisible;1;0;0;
223;getDERObject():DERObject;0;0;0;invisible;1;0;0;
224;addObject(DEREncodable):void;0;0;0;invisible;1;0;0;
225;close():void;0;0;0;invisible;1;0;0;
226;getOctetStream():InputStream;0;0;0;invisible;1;0;0;
227;getDERObject():DERObject;0;0;0;invisible;1;0;0;
228;addObject(DEREncodable):void;0;0;0;invisible;1;0;0;
229;getRawOutputStream():OutputStream;0;0;0;invisible;1;0;0;
230;close():void;0;0;0;invisible;1;0;0;
231;isConstructed():boolean;0;0;0;invisible;1;0;0;
232;getTagNo():int;0;0;0;invisible;1;0;0;
233;getObjectParser(int,boolean):DEREncodable;0;0;0;invisible;1;0;0;
234;rLoadVector(InputStream):ASN1EncodableVector;0;0;0;invisible;1;0;0;
235;getDERObject():DERObject;0;0;0;invisible;1;0;0;
236;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
